a_id,collection_date,age_at_collection_yrs,sn_at_collection,sex,health_status,surrendered,temperament,parasite,nemex_1,nemex_2,nemex_3,nemex_dose_number,ponazuril_dose_number,panacur_dose_number,age_group,parasite_type,results
A321616,2025-09-03,1.261111111111111,Fixed,spayed_female,other,TRUE,social,FALSE,2025-08-05,NA,NA,1,1,0,Adult (> 6 months),toxoplasma,FALSE
A321647,2025-06-08,0.25833333333333336,Fixed,spayed_female,healthy,FALSE,social,FALSE,NA,NA,NA,0,1,0,Juvenile (3-6 months),toxocara_roundworms,FALSE
A321647,2025-06-08,0.25833333333333336,Fixed,spayed_female,healthy,FALSE,social,FALSE,NA,NA,NA,0,1,0,Juvenile (3-6 months),cystoisospora_felis_coccidia,FALSE
A321647,2025-06-08,0.25833333333333336,Fixed,spayed_female,healthy,FALSE,social,FALSE,NA,NA,NA,0,1,0,Juvenile (3-6 months),sarco_like,FALSE
A321647,2025-06-08,0.25833333333333336,Fixed,spayed_female,healthy,FALSE,social,FALSE,NA,NA,NA,0,1,0,Juvenile (3-6 months),toxoplasma,FALSE
A321768,2025-06-07,1.1861111111111111,Fixed,neutered_male,other,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A321768,2025-06-07,1.1861111111111111,Fixed,neutered_male,other,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A321768,2025-06-07,1.1861111111111111,Fixed,neutered_male,other,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),sarco_like,FALSE
A321768,2025-06-07,1.1861111111111111,Fixed,neutered_male,other,TRUE,social,FALSE,NA,NA,NA,0,0,0,Adult (> 6 months),toxoplasma,FALSE
A323391,2025-09-01,1.0944444444444446,Intact,female,healthy,FALSE,unsocial,FALSE,2025-07-23,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323391,2025-09-01,1.0944444444444446,Intact,female,healthy,FALSE,unsocial,FALSE,2025-07-23,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323391,2025-09-01,1.0944444444444446,Intact,female,healthy,FALSE,unsocial,FALSE,2025-07-23,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A323391,2025-09-01,1.0944444444444446,Intact,female,healthy,FALSE,unsocial,FALSE,2025-07-23,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323413,2025-09-03,0.4,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-25,2025-08-20,NA,2,1,0,Juvenile (3-6 months),toxocara_roundworms,FALSE
A323413,2025-09-03,0.4,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-25,2025-08-20,NA,2,1,0,Juvenile (3-6 months),cystoisospora_felis_coccidia,FALSE
A323413,2025-09-03,0.4,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-25,2025-08-20,NA,2,1,0,Juvenile (3-6 months),sarco_like,FALSE
A323413,2025-09-03,0.4,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-25,2025-08-20,NA,2,1,0,Juvenile (3-6 months),toxoplasma,FALSE
A323434,2025-09-02,1.0944444444444446,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323434,2025-09-02,1.0944444444444446,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323434,2025-09-02,1.0944444444444446,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
